PROVINCIA;LOCALIDAD;BACTERIAS;Especie anuro
Loja;Abra del Zamora;Pseudomonas taetrolens;Pristimantis colodactylus
Azuay;Guangarcucho;Pseudomonas thivervalensis;Gastrotheca cuencana
Azuay;Lazareto;Pseudomonas thivervalensis;Gastrotheca cuencana
Azuay;Lazareto;Pseudomonas thivervalensis;Hyloxalus vertebralis
Zamora;Cerca al límite provincial;Rahnella aquatilis;Pristimantis andinognomus
Zamora;Padmi - UNL;Rahnella aquatilis;Pristimantis conspicillatus
Loja;Abra del Zamora;Rahnella aquatilis;Pristimantis balionotus
Morona Santiago;Wapú;Rahnella aquatilis;Pristimantis conspicillatus
Azuay;Guangarcucho;Serratia marcescens;Gastrotheca cuencana
Azuay;Lazareto;Staphylococcus xylosus;Hyloxalus vertebralis
Morona Santiago;Wapú;Staphylococcus xylosus;Scinax cruentommus
